TransactionDate,Description,DebitAmount,CreditAmount,Balance
2038-01-19,INWARD REMITTANCE,,48524.46,40526203.95
2038-01-19,REFUND,,47010.14,40573214.09
2038-01-19,UTILITY BILL,19859.35,,40553354.74
2038-01-19,SALARY,,39879.66,40593234.40
2038-01-20,ATM WITHDRAWAL,3257.44,,40589976.96
2038-01-22,UTILITY BILL,4569.09,,40585407.87
2038-01-24,CASH DEPOSIT,,13467.06,40598874.93
2038-01-25,POS PURCHASE,14573.58,,40584301.35
2038-01-25,CASH DEPOSIT,,38398.59,40622699.94
2038-01-25,ATM WITHDRAWAL,6729.15,,40615970.79
2038-01-26,REFUND,,25069.95,40641040.74
2038-01-28,INWARD REMITTANCE,,25446.86,40666487.60
2038-01-29,UTILITY BILL,4660.60,,40661827.00
2038-01-29,SALARY,,39556.25,40701383.25
2038-01-30,SALARY,,21108.74,40722491.99
2038-02-01,REFUND,,42379.77,40764871.76
2038-02-03,CASH DEPOSIT,,3733.31,40768605.07
2038-02-05,EMI DEBIT,18504.65,,40750100.42
2038-02-07,EMI DEBIT,9767.05,,40740333.37
2038-02-09,POS PURCHASE,8336.11,,40731997.26
2038-02-09,UTILITY BILL,17046.92,,40714950.34
2038-02-10,SALARY,,48680.14,40763630.48
2038-02-12,REFUND,,11299.03,40774929.51
2038-02-13,REFUND,,28678.77,40803608.28
2038-02-14,REFUND,,21242.79,40824851.07
2038-02-16,EMI DEBIT,19013.01,,40805838.06
2038-02-18,CASH DEPOSIT,,2726.10,40808564.16
2038-02-19,REFUND,,18730.54,40827294.70
2038-02-20,ATM WITHDRAWAL,2740.69,,40824554.01
2038-02-21,EMI DEBIT,13385.46,,40811168.55
2038-02-21,EMI DEBIT,4947.24,,40806221.31
2038-02-23,NEFT TRANSFER,,47832.89,40854054.20
2038-02-24,INWARD REMITTANCE,,8686.75,40862740.95
2038-02-26,UTILITY BILL,19052.17,,40843688.78
2038-02-27,INWARD REMITTANCE,,24805.35,40868494.13
2038-02-27,EMI DEBIT,12536.37,,40855957.76
2038-02-27,EMI DEBIT,17218.13,,40838739.63
2038-02-28,POS PURCHASE,10711.26,,40828028.37
2038-03-01,INWARD REMITTANCE,,2184.24,40830212.61
2038-03-03,REFUND,,2509.25,40832721.86
2038-03-03,ATM WITHDRAWAL,2951.84,,40829770.02
2038-03-05,REFUND,,24047.41,40853817.43
2038-03-06,NEFT TRANSFER,,957.76,40854775.19
2038-03-08,SALARY,,38623.85,40893399.04
2038-03-09,INWARD REMITTANCE,,22617.84,40916016.88
2038-03-09,POS PURCHASE,5706.28,,40910310.60
2038-03-09,CASH DEPOSIT,,39422.92,40949733.52
2038-03-09,SALARY,,40391.24,40990124.76
2038-03-11,SALARY,,24871.75,41014996.51
2038-03-11,CASH DEPOSIT,,27288.70,41042285.21
2038-03-11,IMPS TRANSFER,3945.43,,41038339.78
2038-03-11,INWARD REMITTANCE,,26455.47,41064795.25
2038-03-13,ATM WITHDRAWAL,8348.94,,41056446.31
2038-03-13,CASH DEPOSIT,,11649.48,41068095.79
2038-03-14,UTILITY BILL,5837.90,,41062257.89
2038-03-16,UTILITY BILL,4051.12,,41058206.77
2038-03-17,IMPS TRANSFER,8845.66,,41049361.11
2038-03-17,ATM WITHDRAWAL,358.31,,41049002.80
2038-03-18,SALARY,,16173.52,41065176.32
2038-03-19,POS PURCHASE,17636.32,,41047540.00
2038-03-19,IMPS TRANSFER,19498.66,,41028041.34
2038-03-21,REFUND,,29430.32,41057471.66
2038-03-21,POS PURCHASE,3972.91,,41053498.75
2038-03-22,EMI DEBIT,3937.06,,41049561.69
2038-03-24,SALARY,,4360.13,41053921.82
2038-03-24,INWARD REMITTANCE,,16694.13,41070615.95
2038-03-26,IMPS TRANSFER,6042.46,,41064573.49
2038-03-26,POS PURCHASE,17056.94,,41047516.55
2038-03-28,ATM WITHDRAWAL,10802.99,,41036713.56
2038-03-29,UTILITY BILL,5583.93,,41031129.63
2038-03-29,IMPS TRANSFER,9605.28,,41021524.35
2038-03-31,IMPS TRANSFER,11106.09,,41010418.26
2038-04-02,IMPS TRANSFER,2138.31,,41008279.95
2038-04-03,CASH DEPOSIT,,18314.75,41026594.70
2038-04-04,UTILITY BILL,17320.47,,41009274.23
2038-04-06,ATM WITHDRAWAL,8533.35,,41000740.88
2038-04-07,CASH DEPOSIT,,48084.99,41048825.87
2038-04-08,INWARD REMITTANCE,,18719.60,41067545.47
2038-04-10,NEFT TRANSFER,,48287.13,41115832.60
2038-04-10,REFUND,,18143.01,41133975.61
2038-04-10,IMPS TRANSFER,1103.38,,41132872.23
2038-04-12,POS PURCHASE,245.29,,41132626.94
2038-04-14,IMPS TRANSFER,18541.44,,41114085.50
2038-04-15,NEFT TRANSFER,,37289.75,41151375.25
2038-04-16,NEFT TRANSFER,,26848.20,41178223.45
2038-04-17,REFUND,,23888.56,41202112.01
2038-04-18,IMPS TRANSFER,16256.98,,41185855.03
2038-04-20,SALARY,,12350.08,41198205.11
2038-04-22,ATM WITHDRAWAL,6142.86,,41192062.25
2038-04-23,SALARY,,17774.19,41209836.44
2038-04-23,INWARD REMITTANCE,,32059.72,41241896.16
2038-04-23,CASH DEPOSIT,,6445.32,41248341.48
2038-04-24,POS PURCHASE,13779.48,,41234562.00
2038-04-24,UTILITY BILL,8884.78,,41225677.22
2038-04-25,ATM WITHDRAWAL,12404.77,,41213272.45
2038-04-26,POS PURCHASE,5333.89,,41207938.56
2038-04-26,IMPS TRANSFER,10732.18,,41197206.38
2038-04-28,POS PURCHASE,7996.28,,41189210.10
2038-04-28,EMI DEBIT,17386.49,,41171823.61
2038-04-28,ATM WITHDRAWAL,13253.56,,41158570.05
2038-04-29,ATM WITHDRAWAL,15434.49,,41143135.56
2038-04-30,CASH DEPOSIT,,17354.16,41160489.72
2038-04-30,IMPS TRANSFER,2626.59,,41157863.13
2038-05-02,CASH DEPOSIT,,48986.80,41206849.93
2038-05-02,UTILITY BILL,13550.95,,41193298.98
2038-05-04,POS PURCHASE,13993.61,,41179305.37
2038-05-05,IMPS TRANSFER,11800.96,,41167504.41
2038-05-06,NEFT TRANSFER,,29468.95,41196973.36
2038-05-07,ATM WITHDRAWAL,5660.09,,41191313.27
2038-05-08,UTILITY BILL,13906.51,,41177406.76
2038-05-09,UTILITY BILL,2664.42,,41174742.34
2038-05-11,INWARD REMITTANCE,,2973.18,41177715.52
2038-05-13,ATM WITHDRAWAL,209.02,,41177506.50
2038-05-14,ATM WITHDRAWAL,2357.99,,41175148.51
2038-05-15,ATM WITHDRAWAL,3067.47,,41172081.04
2038-05-17,ATM WITHDRAWAL,18154.43,,41153926.61
2038-05-19,NEFT TRANSFER,,3169.83,41157096.44
2038-05-20,EMI DEBIT,14255.74,,41142840.70
2038-05-21,SALARY,,36848.95,41179689.65
2038-05-23,CASH DEPOSIT,,25520.46,41205210.11
2038-05-24,IMPS TRANSFER,4636.74,,41200573.37
2038-05-26,EMI DEBIT,19779.48,,41180793.89
2038-05-27,EMI DEBIT,13572.80,,41167221.09
2038-05-28,EMI DEBIT,8742.05,,41158479.04
2038-05-28,ATM WITHDRAWAL,7385.50,,41151093.54
2038-05-29,REFUND,,27096.35,41178189.89
2038-05-30,INWARD REMITTANCE,,3464.85,41181654.74
2038-06-01,CASH DEPOSIT,,12702.15,41194356.89
2038-06-03,UTILITY BILL,4786.11,,41189570.78
2038-06-04,ATM WITHDRAWAL,9193.86,,41180376.92
2038-06-05,NEFT TRANSFER,,28594.54,41208971.46
2038-06-05,REFUND,,48105.83,41257077.29
2038-06-06,NEFT TRANSFER,,47783.22,41304860.51
2038-06-06,POS PURCHASE,8693.55,,41296166.96
2038-06-08,UTILITY BILL,406.59,,41295760.37
2038-06-09,POS PURCHASE,10441.60,,41285318.77
2038-06-11,POS PURCHASE,655.45,,41284663.32
2038-06-11,EMI DEBIT,12023.49,,41272639.83
2038-06-11,UTILITY BILL,12898.69,,41259741.14
2038-06-13,REFUND,,46006.05,41305747.19
2038-06-13,INWARD REMITTANCE,,15690.02,41321437.21
2038-06-14,SALARY,,49903.00,41371340.21
2038-06-14,POS PURCHASE,13378.05,,41357962.16
2038-06-16,CASH DEPOSIT,,31705.23,41389667.39
2038-06-16,NEFT TRANSFER,,22839.03,41412506.42
2038-06-17,NEFT TRANSFER,,34333.14,41446839.56
2038-06-19,POS PURCHASE,11179.00,,41435660.56
2038-06-21,POS PURCHASE,944.96,,41434715.60
2038-06-23,CASH DEPOSIT,,49627.63,41484343.23
2038-06-25,POS PURCHASE,16315.18,,41468028.05
2038-06-25,REFUND,,45570.29,41513598.34
2038-06-26,EMI DEBIT,19380.94,,41494217.40
2038-06-26,INWARD REMITTANCE,,44769.74,41538987.14
2038-06-26,POS PURCHASE,11010.48,,41527976.66
2038-06-27,EMI DEBIT,9441.20,,41518535.46
2038-06-28,POS PURCHASE,16800.42,,41501735.04
2038-06-28,INWARD REMITTANCE,,49488.69,41551223.73
2038-06-29,IMPS TRANSFER,13860.04,,41537363.69
2038-07-01,UTILITY BILL,14573.57,,41522790.12
2038-07-03,CASH DEPOSIT,,46064.74,41568854.86
2038-07-03,POS PURCHASE,19671.63,,41549183.23
2038-07-05,REFUND,,41591.38,41590774.61
2038-07-07,EMI DEBIT,591.08,,41590183.53
2038-07-08,ATM WITHDRAWAL,9774.47,,41580409.06
2038-07-09,NEFT TRANSFER,,23248.40,41603657.46
2038-07-10,INWARD REMITTANCE,,28325.04,41631982.50
2038-07-11,IMPS TRANSFER,4033.20,,41627949.30
2038-07-13,CASH DEPOSIT,,26925.09,41654874.39
2038-07-15,IMPS TRANSFER,13118.91,,41641755.48
2038-07-17,SALARY,,12987.38,41654742.86
2038-07-18,INWARD REMITTANCE,,43794.96,41698537.82
2038-07-19,UTILITY BILL,10372.00,,41688165.82
2038-07-21,SALARY,,870.33,41689036.15
2038-07-23,CASH DEPOSIT,,34288.51,41723324.66
2038-07-23,SALARY,,12728.66,41736053.32
2038-07-23,POS PURCHASE,16231.96,,41719821.36
2038-07-23,INWARD REMITTANCE,,3250.12,41723071.48
2038-07-25,IMPS TRANSFER,10978.82,,41712092.66
2038-07-27,UTILITY BILL,17401.48,,41694691.18
2038-07-28,SALARY,,49624.39,41744315.57
2038-07-29,NEFT TRANSFER,,10902.53,41755218.10
2038-07-29,SALARY,,35338.32,41790556.42
2038-07-29,POS PURCHASE,17392.57,,41773163.85
2038-07-30,NEFT TRANSFER,,34322.79,41807486.64
2038-07-31,UTILITY BILL,18740.42,,41788746.22
2038-08-02,IMPS TRANSFER,3982.79,,41784763.43
2038-08-03,POS PURCHASE,11469.35,,41773294.08
2038-08-05,ATM WITHDRAWAL,9800.86,,41763493.22
2038-08-07,REFUND,,39413.21,41802906.43
2038-08-09,INWARD REMITTANCE,,1071.11,41803977.54
2038-08-11,REFUND,,44292.59,41848270.13
2038-08-12,NEFT TRANSFER,,39798.21,41888068.34
2038-08-13,UTILITY BILL,11132.14,,41876936.20
2038-08-13,CASH DEPOSIT,,29678.70,41906614.90
2038-08-15,SALARY,,47726.16,41954341.06
2038-08-16,INWARD REMITTANCE,,13301.12,41967642.18
2038-08-17,POS PURCHASE,9138.33,,41958503.85
2038-08-19,UTILITY BILL,6906.32,,41951597.53
2038-08-20,CASH DEPOSIT,,47628.59,41999226.12
2038-08-20,SALARY,,28914.99,42028141.11
2038-08-20,EMI DEBIT,2953.82,,42025187.29
2038-08-22,EMI DEBIT,3345.66,,42021841.63
2038-08-23,UTILITY BILL,6013.77,,42015827.86
2038-08-24,EMI DEBIT,17372.21,,41998455.65
2038-08-26,NEFT TRANSFER,,43891.69,42042347.34
2038-08-26,SALARY,,11452.39,42053799.73
2038-08-27,SALARY,,4521.38,42058321.11
2038-08-27,CASH DEPOSIT,,12396.85,42070717.96
2038-08-28,EMI DEBIT,5686.70,,42065031.26
2038-08-30,ATM WITHDRAWAL,4213.76,,42060817.50
2038-08-31,IMPS TRANSFER,6370.34,,42054447.16
2038-08-31,EMI DEBIT,13134.22,,42041312.94
2038-08-31,IMPS TRANSFER,19530.43,,42021782.51
2038-09-02,REFUND,,44290.34,42066072.85
2038-09-03,UTILITY BILL,9867.99,,42056204.86
2038-09-05,UTILITY BILL,17591.08,,42038613.78
2038-09-05,UTILITY BILL,2235.14,,42036378.64
2038-09-05,NEFT TRANSFER,,47824.11,42084202.75
2038-09-05,REFUND,,35973.66,42120176.41
2038-09-05,IMPS TRANSFER,18524.94,,42101651.47
2038-09-06,REFUND,,25181.96,42126833.43
2038-09-07,NEFT TRANSFER,,2462.73,42129296.16
2038-09-08,NEFT TRANSFER,,19632.51,42148928.67
2038-09-08,EMI DEBIT,13808.29,,42135120.38
2038-09-10,EMI DEBIT,17942.26,,42117178.12
2038-09-12,IMPS TRANSFER,18381.20,,42098796.92
2038-09-14,EMI DEBIT,6685.88,,42092111.04
2038-09-16,IMPS TRANSFER,11543.97,,42080567.07
2038-09-17,POS PURCHASE,1551.30,,42079015.77
2038-09-17,CASH DEPOSIT,,46549.86,42125565.63
2038-09-18,INWARD REMITTANCE,,44114.19,42169679.82
2038-09-19,UTILITY BILL,5616.74,,42164063.08
2038-09-21,ATM WITHDRAWAL,10532.39,,42153530.69
2038-09-23,POS PURCHASE,18701.98,,42134828.71
2038-09-23,POS PURCHASE,17643.54,,42117185.17
2038-09-25,ATM WITHDRAWAL,19907.63,,42097277.54
2038-09-27,IMPS TRANSFER,4342.25,,42092935.29
2038-09-28,NEFT TRANSFER,,14873.16,42107808.45
2038-09-29,REFUND,,16337.19,42124145.64
2038-09-30,POS PURCHASE,2415.21,,42121730.43
2038-10-02,IMPS TRANSFER,2051.90,,42119678.53
2038-10-03,REFUND,,9234.97,42128913.50
2038-10-05,CASH DEPOSIT,,6259.47,42135172.97
2038-10-07,UTILITY BILL,2974.62,,42132198.35
2038-10-07,NEFT TRANSFER,,34537.32,42166735.67
2038-10-08,EMI DEBIT,19697.36,,42147038.31
2038-10-09,UTILITY BILL,8680.10,,42138358.21
2038-10-09,EMI DEBIT,6170.80,,42132187.41
2038-10-10,SALARY,,11550.28,42143737.69
2038-10-10,INWARD REMITTANCE,,3064.75,42146802.44
2038-10-11,INWARD REMITTANCE,,18389.71,42165192.15
2038-10-12,EMI DEBIT,17310.31,,42147881.84
2038-10-14,IMPS TRANSFER,9451.59,,42138430.25
2038-10-14,REFUND,,28814.53,42167244.78
2038-10-16,ATM WITHDRAWAL,19739.06,,42147505.72
2038-10-17,UTILITY BILL,18258.92,,42129246.80
2038-10-19,REFUND,,9209.44,42138456.24
2038-10-19,INWARD REMITTANCE,,40522.22,42178978.46
2038-10-21,INWARD REMITTANCE,,3663.76,42182642.22
2038-10-22,IMPS TRANSFER,5303.48,,42177338.74
2038-10-22,IMPS TRANSFER,16421.71,,42160917.03
2038-10-22,ATM WITHDRAWAL,13156.87,,42147760.16
2038-10-22,IMPS TRANSFER,102.81,,42147657.35
2038-10-22,EMI DEBIT,16498.55,,42131158.80
2038-10-24,INWARD REMITTANCE,,35683.34,42166842.14
2038-10-24,IMPS TRANSFER,187.78,,42166654.36
2038-10-24,SALARY,,24023.93,42190678.29
2038-10-24,CASH DEPOSIT,,42607.07,42233285.36
2038-10-24,IMPS TRANSFER,7961.37,,42225323.99
2038-10-25,UTILITY BILL,18084.00,,42207239.99
2038-10-25,CASH DEPOSIT,,19408.96,42226648.95
2038-10-27,CASH DEPOSIT,,46222.94,42272871.89
2038-10-27,ATM WITHDRAWAL,12011.72,,42260860.17
2038-10-27,ATM WITHDRAWAL,3576.06,,42257284.11
2038-10-29,NEFT TRANSFER,,41833.50,42299117.61
2038-10-31,INWARD REMITTANCE,,45208.68,42344326.29
2038-11-02,REFUND,,19850.74,42364177.03
2038-11-02,EMI DEBIT,10683.28,,42353493.75
2038-11-02,IMPS TRANSFER,2501.90,,42350991.85
2038-11-02,SALARY,,46129.11,42397120.96
2038-11-02,EMI DEBIT,18852.04,,42378268.92
2038-11-04,ATM WITHDRAWAL,6802.99,,42371465.93
2038-11-05,UTILITY BILL,12983.09,,42358482.84
2038-11-06,REFUND,,24645.75,42383128.59
2038-11-07,INWARD REMITTANCE,,8501.86,42391630.45
2038-11-07,IMPS TRANSFER,17438.98,,42374191.47
2038-11-07,IMPS TRANSFER,10648.04,,42363543.43
2038-11-07,INWARD REMITTANCE,,44300.35,42407843.78
2038-11-08,REFUND,,48558.78,42456402.56
2038-11-10,SALARY,,45964.25,42502366.81
2038-11-12,IMPS TRANSFER,9960.05,,42492406.76
2038-11-12,CASH DEPOSIT,,21690.41,42514097.17
2038-11-13,EMI DEBIT,1327.14,,42512770.03
2038-11-14,INWARD REMITTANCE,,45068.46,42557838.49
2038-11-15,POS PURCHASE,17017.74,,42540820.75
2038-11-16,NEFT TRANSFER,,33164.22,42573984.97
2038-11-16,REFUND,,44878.11,42618863.08
2038-11-16,UTILITY BILL,8087.96,,42610775.12
2038-11-18,INWARD REMITTANCE,,44430.58,42655205.70
2038-11-20,SALARY,,44470.01,42699675.71
2038-11-20,INWARD REMITTANCE,,29189.11,42728864.82
2038-11-21,SALARY,,21432.56,42750297.38
2038-11-23,ATM WITHDRAWAL,14931.04,,42735366.34
2038-11-23,UTILITY BILL,8160.17,,42727206.17
2038-11-24,ATM WITHDRAWAL,3600.10,,42723606.07
2038-11-25,POS PURCHASE,4958.05,,42718648.02
2038-11-27,NEFT TRANSFER,,13221.03,42731869.05
2038-11-28,ATM WITHDRAWAL,6391.00,,42725478.05
2038-11-28,NEFT TRANSFER,,30844.78,42756322.83
2038-11-30,IMPS TRANSFER,11606.75,,42744716.08
2038-12-01,ATM WITHDRAWAL,10526.45,,42734189.63
2038-12-03,IMPS TRANSFER,18068.07,,42716121.56
2038-12-05,ATM WITHDRAWAL,19647.91,,42696473.65
2038-12-07,EMI DEBIT,4368.01,,42692105.64
2038-12-08,UTILITY BILL,10903.22,,42681202.42
2038-12-10,UTILITY BILL,331.27,,42680871.15
2038-12-11,EMI DEBIT,10258.66,,42670612.49
2038-12-11,SALARY,,11884.98,42682497.47
2038-12-12,CASH DEPOSIT,,31318.08,42713815.55
2038-12-13,ATM WITHDRAWAL,10629.56,,42703185.99
2038-12-15,CASH DEPOSIT,,49644.35,42752830.34
2038-12-17,SALARY,,46419.51,42799249.85
2038-12-18,POS PURCHASE,3688.52,,42795561.33
2038-12-18,REFUND,,43178.39,42838739.72
2038-12-18,IMPS TRANSFER,10276.33,,42828463.39
2038-12-18,EMI DEBIT,7818.70,,42820644.69
2038-12-20,IMPS TRANSFER,9677.18,,42810967.51
2038-12-20,UTILITY BILL,1840.35,,42809127.16
2038-12-21,IMPS TRANSFER,1546.78,,42807580.38
2038-12-23,IMPS TRANSFER,5840.96,,42801739.42
2038-12-24,EMI DEBIT,4005.49,,42797733.93
2038-12-25,INWARD REMITTANCE,,33079.32,42830813.25
2038-12-25,POS PURCHASE,57.28,,42830755.97
2038-12-25,POS PURCHASE,5462.34,,42825293.63
2038-12-25,EMI DEBIT,5870.12,,42819423.51
2038-12-25,EMI DEBIT,10507.12,,42808916.39
2038-12-27,INWARD REMITTANCE,,8822.17,42817738.56
2038-12-27,CASH DEPOSIT,,451.55,42818190.11
2038-12-27,POS PURCHASE,18028.73,,42800161.38
2038-12-28,IMPS TRANSFER,1013.23,,42799148.15
2038-12-30,EMI DEBIT,9031.83,,42790116.32
2039-01-01,IMPS TRANSFER,1354.56,,42788761.76
2039-01-01,EMI DEBIT,4808.59,,42783953.17
2039-01-01,POS PURCHASE,14650.22,,42769302.95
2039-01-03,REFUND,,11659.18,42780962.13
2039-01-05,INWARD REMITTANCE,,36211.99,42817174.12
2039-01-06,CASH DEPOSIT,,24047.83,42841221.95
2039-01-07,NEFT TRANSFER,,26348.79,42867570.74
2039-01-07,IMPS TRANSFER,14267.15,,42853303.59
2039-01-09,IMPS TRANSFER,12996.09,,42840307.50
2039-01-11,ATM WITHDRAWAL,12143.19,,42828164.31
2039-01-13,CASH DEPOSIT,,5300.30,42833464.61
2039-01-14,NEFT TRANSFER,,47126.62,42880591.23
2039-01-14,UTILITY BILL,8239.46,,42872351.77
2039-01-14,CASH DEPOSIT,,4250.74,42876602.51
2039-01-14,REFUND,,48226.24,42924828.75
2039-01-16,CASH DEPOSIT,,45283.65,42970112.40
2039-01-16,UTILITY BILL,12182.37,,42957930.03
2039-01-18,INWARD REMITTANCE,,19862.94,42977792.97
2039-01-18,UTILITY BILL,17570.67,,42960222.30
2039-01-18,POS PURCHASE,9399.86,,42950822.44
2039-01-19,CASH DEPOSIT,,37933.18,42988755.62
2039-01-19,IMPS TRANSFER,6721.43,,42982034.19
2039-01-19,SALARY,,9064.79,42991098.98
2039-01-19,UTILITY BILL,16861.81,,42974237.17
2039-01-19,CASH DEPOSIT,,28405.69,43002642.86
2039-01-19,INWARD REMITTANCE,,45076.90,43047719.76
2039-01-19,EMI DEBIT,14549.03,,43033170.73
2039-01-20,POS PURCHASE,1478.54,,43031692.19
2039-01-22,REFUND,,14886.80,43046578.99
2039-01-22,EMI DEBIT,2040.07,,43044538.92
2039-01-23,EMI DEBIT,10824.99,,43033713.93
2039-01-24,IMPS TRANSFER,3638.10,,43030075.83
2039-01-26,SALARY,,44495.70,43074571.53
2039-01-27,REFUND,,31524.76,43106096.29
2039-01-27,POS PURCHASE,6090.96,,43100005.33
2039-01-27,POS PURCHASE,1866.47,,43098138.86
2039-01-29,UTILITY BILL,19001.65,,43079137.21
2039-01-31,UTILITY BILL,5103.55,,43074033.66
2039-02-01,UTILITY BILL,16298.24,,43057735.42
2039-02-01,UTILITY BILL,18739.69,,43038995.73
2039-02-03,REFUND,,1842.22,43040837.95
2039-02-05,POS PURCHASE,11827.83,,43029010.12
2039-02-06,INWARD REMITTANCE,,35303.31,43064313.43
2039-02-07,SALARY,,24751.34,43089064.77
2039-02-08,SALARY,,2852.28,43091917.05
2039-02-08,NEFT TRANSFER,,23360.26,43115277.31
2039-02-09,ATM WITHDRAWAL,5779.96,,43109497.35
2039-02-09,REFUND,,37476.32,43146973.67
2039-02-09,NEFT TRANSFER,,44192.52,43191166.19
2039-02-11,SALARY,,5801.55,43196967.74
2039-02-11,SALARY,,30270.21,43227237.95
2039-02-13,INWARD REMITTANCE,,39216.09,43266454.04
2039-02-13,INWARD REMITTANCE,,48864.16,43315318.20
2039-02-15,REFUND,,3259.20,43318577.40
2039-02-15,REFUND,,26544.03,43345121.43
2039-02-17,ATM WITHDRAWAL,10358.94,,43334762.49
2039-02-18,INWARD REMITTANCE,,39935.02,43374697.51
2039-02-18,SALARY,,21789.06,43396486.57
2039-02-18,EMI DEBIT,15957.87,,43380528.70
2039-02-18,ATM WITHDRAWAL,8776.76,,43371751.94
2039-02-18,REFUND,,20068.60,43391820.54
2039-02-18,IMPS TRANSFER,13339.34,,43378481.20
2039-02-20,CASH DEPOSIT,,3672.87,43382154.07
2039-02-20,CASH DEPOSIT,,21763.94,43403918.01
2039-02-20,IMPS TRANSFER,3492.56,,43400425.45
2039-02-22,CASH DEPOSIT,,40618.61,43441044.06
2039-02-24,ATM WITHDRAWAL,13301.26,,43427742.80
2039-02-24,SALARY,,680.58,43428423.38
2039-02-25,SALARY,,13918.12,43442341.50
2039-02-25,POS PURCHASE,18213.70,,43424127.80
2039-02-25,SALARY,,37267.10,43461394.90
2039-02-25,ATM WITHDRAWAL,8154.27,,43453240.63
2039-02-26,EMI DEBIT,4979.36,,43448261.27
2039-02-28,NEFT TRANSFER,,24261.06,43472522.33
2039-02-28,REFUND,,11252.81,43483775.14
2039-02-28,POS PURCHASE,8709.44,,43475065.70
2039-03-01,SALARY,,26620.70,43501686.40
2039-03-02,CASH DEPOSIT,,2870.23,43504556.63
2039-03-02,SALARY,,44205.64,43548762.27
2039-03-03,CASH DEPOSIT,,4207.12,43552969.39
2039-03-05,NEFT TRANSFER,,24003.42,43576972.81
2039-03-07,EMI DEBIT,1357.66,,43575615.15
2039-03-07,CASH DEPOSIT,,12363.18,43587978.33
2039-03-08,NEFT TRANSFER,,21221.34,43609199.67
2039-03-08,NEFT TRANSFER,,40430.34,43649630.01
2039-03-09,ATM WITHDRAWAL,14547.03,,43635082.98
2039-03-09,NEFT TRANSFER,,25730.94,43660813.92
2039-03-10,SALARY,,40228.39,43701042.31
2039-03-11,REFUND,,4271.14,43705313.45
2039-03-13,EMI DEBIT,14373.74,,43690939.71
2039-03-13,SALARY,,14999.19,43705938.90
2039-03-14,NEFT TRANSFER,,31118.69,43737057.59
2039-03-16,INWARD REMITTANCE,,21196.78,43758254.37
2039-03-18,POS PURCHASE,4496.61,,43753757.76
2039-03-18,INWARD REMITTANCE,,36736.78,43790494.54
2039-03-19,POS PURCHASE,7517.40,,43782977.14
2039-03-20,POS PURCHASE,10263.23,,43772713.91
2039-03-22,UTILITY BILL,6493.51,,43766220.40
2039-03-23,SALARY,,21982.21,43788202.61
2039-03-23,ATM WITHDRAWAL,12952.36,,43775250.25
2039-03-24,SALARY,,35912.45,43811162.70
2039-03-25,REFUND,,19682.11,43830844.81
2039-03-26,SALARY,,49563.47,43880408.28
2039-03-27,POS PURCHASE,634.82,,43879773.46
2039-03-28,NEFT TRANSFER,,2186.12,43881959.58
2039-03-29,UTILITY BILL,13129.52,,43868830.06
2039-03-30,NEFT TRANSFER,,17801.26,43886631.32
2039-03-30,INWARD REMITTANCE,,13853.49,43900484.81
2039-03-31,IMPS TRANSFER,6039.42,,43894445.39
2039-03-31,REFUND,,34797.03,43929242.42
2039-03-31,REFUND,,40591.97,43969834.39
2039-04-02,NEFT TRANSFER,,15371.95,43985206.34
2039-04-03,NEFT TRANSFER,,6632.06,43991838.40
2039-04-04,INWARD REMITTANCE,,42634.53,44034472.93
2039-04-04,NEFT TRANSFER,,37431.66,44071904.59
2039-04-06,SALARY,,34642.53,44106547.12
2039-04-08,IMPS TRANSFER,9851.59,,44096695.53
2039-04-10,REFUND,,20714.50,44117410.03
2039-04-12,UTILITY BILL,12322.68,,44105087.35
2039-04-14,UTILITY BILL,2677.88,,44102409.47
2039-04-15,CASH DEPOSIT,,40901.74,44143311.21
2039-04-16,INWARD REMITTANCE,,17005.44,44160316.65
2039-04-17,EMI DEBIT,16158.03,,44144158.62
2039-04-17,INWARD REMITTANCE,,38777.97,44182936.59
2039-04-19,SALARY,,28327.83,44211264.42
2039-04-19,UTILITY BILL,12069.45,,44199194.97
2039-04-21,CASH DEPOSIT,,14601.31,44213796.28
2039-04-23,UTILITY BILL,10523.91,,44203272.37
2039-04-24,REFUND,,47080.97,44250353.34
2039-04-25,UTILITY BILL,3110.59,,44247242.75
2039-04-25,SALARY,,24012.26,44271255.01
2039-04-25,UTILITY BILL,11470.32,,44259784.69
2039-04-26,SALARY,,41059.44,44300844.13
2039-04-26,REFUND,,15260.34,44316104.47
2039-04-28,EMI DEBIT,12456.77,,44303647.70
2039-04-28,NEFT TRANSFER,,30378.84,44334026.54
2039-04-28,EMI DEBIT,11410.19,,44322616.35
2039-04-30,CASH DEPOSIT,,43797.61,44366413.96
2039-04-30,POS PURCHASE,5340.69,,44361073.27
2039-05-02,NEFT TRANSFER,,29280.74,44390354.01
2039-05-03,CASH DEPOSIT,,18330.81,44408684.82
2039-05-05,INWARD REMITTANCE,,23934.56,44432619.38
2039-05-05,NEFT TRANSFER,,41003.10,44473622.48
2039-05-07,ATM WITHDRAWAL,18481.68,,44455140.80
2039-05-07,UTILITY BILL,6628.03,,44448512.77
2039-05-09,ATM WITHDRAWAL,2697.68,,44445815.09
2039-05-10,ATM WITHDRAWAL,428.00,,44445387.09
2039-05-11,CASH DEPOSIT,,25054.61,44470441.70
2039-05-12,IMPS TRANSFER,4473.07,,44465968.63
2039-05-14,IMPS TRANSFER,3731.61,,44462237.02
